scenario,timestamp,num_buses,num_generators,num_lines,num_storage,total_system_cost_eur,total_system_cost_billion_eur,line_expansion_MVA,line_expansion_GVA,gen_capacity_CCGT_GW,gen_capacity_OCGT_GW,gen_capacity_biomass_GW,gen_capacity_coal_GW,gen_capacity_lignite_GW,gen_capacity_offwind-ac_GW,gen_capacity_offwind-dc_GW,gen_capacity_offwind-float_GW,gen_capacity_oil_GW,gen_capacity_onwind_GW,gen_capacity_ror_GW,gen_capacity_solar_GW,gen_capacity_solar-hsat_GW,total_gen_capacity_GW,storage_power_H2_GW,storage_power_PHS_GW,storage_power_battery_GW,storage_energy_H2_GWh,storage_energy_PHS_GWh,storage_energy_battery_GWh,total_storage_power_GW,total_storage_energy_GWh,gen_capacity_biogas_GW,gen_capacity_gas_GW,gen_capacity_oil primary_GW,gen_capacity_rural heat vent_GW,gen_capacity_rural solar thermal_GW,gen_capacity_solar rooftop_GW,gen_capacity_solid biomass_GW,gen_capacity_urban central heat vent_GW,gen_capacity_urban central solar thermal_GW,gen_capacity_urban decentral heat vent_GW,gen_capacity_urban decentral solar thermal_GW,gen_capacity_load_GW,gen_capacity_nuclear_GW,energy_share_gas_percent,energy_generation_gas_GWh,energy_share_load_percent,energy_generation_load_GWh,energy_share_nuclear_percent,energy_generation_nuclear_GWh,energy_share_offwind-ac_percent,energy_generation_offwind-ac_GWh,energy_share_offwind-dc_percent,energy_generation_offwind-dc_GWh,energy_share_offwind-float_percent,energy_generation_offwind-float_GWh,energy_share_oil primary_percent,energy_generation_oil primary_GWh,energy_share_onwind_percent,energy_generation_onwind_GWh,energy_share_ror_percent,energy_generation_ror_GWh,energy_share_rural heat vent_percent,energy_generation_rural heat vent_GWh,energy_share_rural solar thermal_percent,energy_generation_rural solar thermal_GWh,energy_share_solar_percent,energy_generation_solar_GWh,energy_share_solar-hsat_percent,energy_generation_solar-hsat_GWh,energy_share_urban central heat vent_percent,energy_generation_urban central heat vent_GWh,energy_share_urban central solar thermal_percent,energy_generation_urban central solar thermal_GWh,energy_share_urban decentral heat vent_percent,energy_generation_urban decentral heat vent_GWh,energy_share_urban decentral solar thermal_percent,energy_generation_urban decentral solar thermal_GWh,total_energy_generation_GWh,capacity_factor_nuclear,capacity_factor_solar-hsat,capacity_factor_offwind-ac,capacity_factor_offwind-float,capacity_factor_onwind,capacity_factor_offwind-dc,capacity_factor_solar,capacity_factor_ror,capacity_factor_gas,capacity_factor_oil primary,capacity_factor_urban central heat vent,capacity_factor_urban central solar thermal,capacity_factor_rural heat vent,capacity_factor_rural solar thermal,capacity_factor_urban decentral heat vent,capacity_factor_urban decentral solar thermal,capacity_factor_load
s-base-s,2025-08-13 11:24:27.376401,471,0,834,0,,,-1618542.5466816027,-1618.5425466816027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-extended,2025-08-13 11:24:27.675457,792,0,1026,0,,,-1874079.6666098482,-1874.0796666098481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-256,2025-08-13 11:24:28.808904,256,0,392,0,,,-995534.9995883019,-995.5349995883018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-37,2025-08-13 11:24:29.602922,37,0,73,0,,,-384403.37607611273,-384.40337607611275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base,2025-08-13 11:24:29.802154,792,0,1026,0,,,-1874079.6666098482,-1874.0796666098481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-50-elec,2025-08-13 11:24:30.178804,150,392,98,125,,,-425768.2045524539,-425.7682045524539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-25---2050,2025-08-13 11:24:30.565457,633,387,52,18,,,-288363.5696595019,-288.3635696595019,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-25,2025-08-13 11:24:30.691796,25,0,52,0,,,-288363.5696595019,-288.3635696595019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base,2025-08-13 11:24:31.009761,792,0,1026,0,,,-1874079.6666098482,-1874.0796666098481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-25-elec-,2025-08-13 11:24:31.744301,75,212,52,68,,,-288363.5696595019,-288.3635696595019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-128,2025-08-13 11:24:32.256311,128,0,210,0,,,-640720.9275562022,-640.7209275562021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-1,2025-08-13 11:24:32.443333,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-37,2025-08-13 11:24:32.858491,37,0,64,0,,,-346859.80190342036,-346.85980190342036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s,2025-08-13 11:24:33.401812,452,0,789,0,,,-1492542.821898253,-1492.542821898253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-1---2035,2025-08-13 11:24:33.875212,23,39,0,1,383223169427.7632,383.2231694277632,,,,,,,,4.1796455092139695,21.754107079338468,0.23344230704547322,,54.414000002011186,4.767530637,53.669000001844054,1.4914610450834e-05,23001448.92275136,,7.2418059999999995,,,7.2418059999999995,,7.2418059999999995,7.2418059999999995,,0.028905590650511227,79.71592499890463,1.065937298798783,65.5769675353975,,,0.0012224917463865156,926.620615507312,1.3044954725670068,231.53494201259892,23000000.0,4.056,3.661667901254374e-05,115.49962117192501,99.66433649826388,314370211.0712269,0.0102066426925528,32194.71006704904,0.006007470047496109,18949.302159537514,0.03722126457634329,117406.65931596156,0.0002907980881267432,917.2614754236182,0.09830602717521213,310085.70967794023,0.0367124647374652,115801.75711763209,0.006062090659886336,19121.59140611524,-0.0002889639175777016,-911.4759697663072,0.004020620163881188,12682.201617612509,0.018126543304906668,57176.37266219605,3.259743835023115e-09,0.01028217709021921,-1.1578687930218367e-06,-3.6522538517215954,0.107912953544847,340388.7405983384,-0.000442759092671824,-1396.5905388771723,0.0114928876856871,36251.89967155699,315428991.0681371,0.9086025402562681,0.07891517781608241,0.5189686771038114,0.44978085095913584,0.24360818245790877,0.6177871113701273,0.12194962553551074,0.4591112300587003,0.45738939023895864,0.44527061657182726,-0.34198132821293215,0.0420494773828731,-0.09788157274108267,0.022137608259328,-0.12255016324329769,0.01792262435281377,0.0015645913514852428
s-base-s-50-elec-,2025-08-13 11:24:34.349844,150,392,98,125,,,-425768.2045524539,-425.7682045524539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-1-elec,2025-08-13 11:24:34.587271,2,14,0,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-extended,2025-08-13 11:24:34.852575,792,0,1046,0,,,-1970042.1666098482,-1970.0421666098482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-25-elec,2025-08-13 11:24:35.050275,75,212,52,68,,,-288363.5696595019,-288.3635696595019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-50---2050,2025-08-13 11:24:36.083963,1255,747,98,25,,,-425768.2045524539,-425.7682045524539,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-extended,2025-08-13 11:24:36.607347,792,0,1045,0,,,-1966645.9566098482,-1966.645956609848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-1-elec-,2025-08-13 11:24:36.907395,2,14,0,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-37-elec-,2025-08-13 11:24:37.288320,111,305,73,23,,,-384403.37607611273,-384.40337607611275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-1---2035,2025-08-13 11:24:37.726683,23,39,0,1,383223169427.7632,383.2231694277632,,,,,,,,4.1796455092139695,21.754107079338468,0.23344230704547322,,54.414000002011186,4.767530637,53.669000001844054,1.4914610450834e-05,23001448.92275136,,7.2418059999999995,,,7.2418059999999995,,7.2418059999999995,7.2418059999999995,,0.028905590650511227,79.71592499890463,1.065937298798783,65.5769675353975,,,0.0012224917463865156,926.620615507312,1.3044954725670068,231.53494201259892,23000000.0,4.056,3.661667901254374e-05,115.49962117192501,99.66433649826388,314370211.0712269,0.0102066426925528,32194.71006704904,0.006007470047496109,18949.302159537514,0.03722126457634329,117406.65931596156,0.0002907980881267432,917.2614754236182,0.09830602717521213,310085.70967794023,0.0367124647374652,115801.75711763209,0.006062090659886336,19121.59140611524,-0.0002889639175777016,-911.4759697663072,0.004020620163881188,12682.201617612509,0.018126543304906668,57176.37266219605,3.259743835023115e-09,0.01028217709021921,-1.1578687930218367e-06,-3.6522538517215954,0.107912953544847,340388.7405983384,-0.000442759092671824,-1396.5905388771723,0.0114928876856871,36251.89967155699,315428991.0681371,0.9086025402562681,0.07891517781608241,0.5189686771038114,0.44978085095913584,0.24360818245790877,0.6177871113701273,0.12194962553551074,0.4591112300587003,0.45738939023895864,0.44527061657182726,-0.34198132821293215,0.0420494773828731,-0.09788157274108267,0.022137608259328,-0.12255016324329769,0.01792262435281377,0.0015645913514852428
s-base-s-50,2025-08-13 11:24:37.876997,50,0,98,0,,,-425768.2045524539,-425.7682045524539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s-1---2035,2025-08-13 11:24:38.986724,23,16,0,1,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base,2025-08-13 11:24:39.265411,792,0,1026,0,,,-1874079.6666098482,-1874.0796666098481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-base-s,2025-08-13 11:24:39.475732,471,0,835,0,,,-1621938.7566816027,-1621.9387566816026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
